pair_id,shard_id,donor_entity,recipient_entity,role,direction,prompt,layer,layer_hook_definition,position_group,token_positions,token_ids,decoded_tokens,subject_span,first_role_span,second_role_span,donor_token_id,recipient_token_id,donor_token_string,recipient_token_string,original_donor_logit_donor,original_donor_logit_recipient,original_donor_prob_donor,original_donor_prob_recipient,original_recipient_logit_donor,original_recipient_logit_recipient,original_recipient_prob_donor,original_recipient_prob_recipient,patched_logit_donor,patched_logit_recipient,patched_prob_donor,patched_prob_recipient,original_donor_margin,original_recipient_margin,patched_margin,baseline_separation,normalized_recovery
scientist_Einstein_into_Newton,0,Einstein,Newton,scientist,Einstein_into_Newton,Everyone knows Newton was a celebrated scientist. The scientist was,0,cumulative residual state at output of transformer block; layer 0 is output of block 0,token_00,[0],[33024],"[""Everyone""]",[2],[6],[9],54052,20668,ĠEinstein,ĠNewton,29.625,26.75,0.0045270477421581745,0.00025539856869727373,25.875,31.5,0.00017749208200257272,0.04921363666653633,25.875,31.5,0.00017749208200257272,0.04921363666653633,2.875,-5.625,-5.625,8.5,0.0
scientist_Einstein_into_Newton,0,Einstein,Newton,scientist,Einstein_into_Newton,Everyone knows Newton was a celebrated scientist. The scientist was,0,cumulative residual state at output of transformer block; layer 0 is output of block 0,token_01,[1],[8788],"[""\u0120knows""]",[2],[6],[9],54052,20668,ĠEinstein,ĠNewton,29.625,26.75,0.0045270477421581745,0.00025539856869727373,25.875,31.5,0.00017749208200257272,0.04921363666653633,25.875,31.5,0.00017749208200257272,0.04921363666653633,2.875,-5.625,-5.625,8.5,0.0
scientist_Einstein_into_Newton,0,Einstein,Newton,scientist,Einstein_into_Newton,Everyone knows Newton was a celebrated scientist. The scientist was,0,cumulative residual state at output of transformer block; layer 0 is output of block 0,token_02,[2],[20668],"[""\u0120Newton""]",[2],[6],[9],54052,20668,ĠEinstein,ĠNewton,29.625,26.75,0.0045270477421581745,0.00025539856869727373,25.875,31.5,0.00017749208200257272,0.04921363666653633,29.75,26.875,0.004884574096649885,0.00027556883287616074,2.875,-5.625,2.875,8.5,1.0
scientist_Einstein_into_Newton,0,Einstein,Newton,scientist,Einstein_into_Newton,Everyone knows Newton was a celebrated scientist. The scientist was,0,cumulative residual state at output of transformer block; layer 0 is output of block 0,token_03,[3],[572],"[""\u0120was""]",[2],[6],[9],54052,20668,ĠEinstein,ĠNewton,29.625,26.75,0.0045270477421581745,0.00025539856869727373,25.875,31.5,0.00017749208200257272,0.04921363666653633,25.875,31.5,0.00016755852266214788,0.04645933583378792,2.875,-5.625,-5.625,8.5,0.0
scientist_Einstein_into_Newton,0,Einstein,Newton,scientist,Einstein_into_Newton,Everyone knows Newton was a celebrated scientist. The scientist was,0,cumulative residual state at output of transformer block; layer 0 is output of block 0,token_04,[4],[264],"[""\u0120a""]",[2],[6],[9],54052,20668,ĠEinstein,ĠNewton,29.625,26.75,0.0045270477421581745,0.00025539856869727373,25.875,31.5,0.00017749208200257272,0.04921363666653633,25.875,31.5,0.00017143308650702238,0.04753364622592926,2.875,-5.625,-5.625,8.5,0.0
scientist_Einstein_into_Newton,0,Einstein,Newton,scientist,Einstein_into_Newton,Everyone knows Newton was a celebrated scientist. The scientist was,0,cumulative residual state at output of transformer block; layer 0 is output of block 0,token_05,[5],[27185],"[""\u0120celebrated""]",[2],[6],[9],54052,20668,ĠEinstein,ĠNewton,29.625,26.75,0.0045270477421581745,0.00025539856869727373,25.875,31.5,0.00017749208200257272,0.04921363666653633,25.875,31.0,0.0001462658983655274,0.024598142132163048,2.875,-5.625,-5.125,8.5,0.058823529411764705
scientist_Einstein_into_Newton,0,Einstein,Newton,scientist,Einstein_into_Newton,Everyone knows Newton was a celebrated scientist. The scientist was,0,cumulative residual state at output of transformer block; layer 0 is output of block 0,token_06,[6],[27468],"[""\u0120scientist""]",[2],[6],[9],54052,20668,ĠEinstein,ĠNewton,29.625,26.75,0.0045270477421581745,0.00025539856869727373,25.875,31.5,0.00017749208200257272,0.04921363666653633,25.875,31.75,0.00018315536726731807,0.0652078241109848,2.875,-5.625,-5.875,8.5,-0.029411764705882353
scientist_Einstein_into_Newton,0,Einstein,Newton,scientist,Einstein_into_Newton,Everyone knows Newton was a celebrated scientist. The scientist was,0,cumulative residual state at output of transformer block; layer 0 is output of block 0,token_07,[7],[13],"["".""]",[2],[6],[9],54052,20668,ĠEinstein,ĠNewton,29.625,26.75,0.0045270477421581745,0.00025539856869727373,25.875,31.5,0.00017749208200257272,0.04921363666653633,25.875,31.5,0.00017275074787903577,0.047898996621370316,2.875,-5.625,-5.625,8.5,0.0
scientist_Einstein_into_Newton,0,Einstein,Newton,scientist,Einstein_into_Newton,Everyone knows Newton was a celebrated scientist. The scientist was,0,cumulative residual state at output of transformer block; layer 0 is output of block 0,token_08,[8],[576],"[""\u0120The""]",[2],[6],[9],54052,20668,ĠEinstein,ĠNewton,29.625,26.75,0.0045270477421581745,0.00025539856869727373,25.875,31.5,0.00017749208200257272,0.04921363666653633,25.875,31.5,0.00017863127868622541,0.04952950403094292,2.875,-5.625,-5.625,8.5,0.0
scientist_Einstein_into_Newton,0,Einstein,Newton,scientist,Einstein_into_Newton,Everyone knows Newton was a celebrated scientist. The scientist was,0,cumulative residual state at output of transformer block; layer 0 is output of block 0,token_09,[9],[27468],"[""\u0120scientist""]",[2],[6],[9],54052,20668,ĠEinstein,ĠNewton,29.625,26.75,0.0045270477421581745,0.00025539856869727373,25.875,31.5,0.00017749208200257272,0.04921363666653633,25.875,31.5,0.00016975133621599525,0.04706734046339989,2.875,-5.625,-5.625,8.5,0.0
