pair_id,unordered_pair_id,donor_entity,recipient_entity,role,layer,position,position_label,recovery_active,recovery_bypass,recovery_full_post_mlp,MLP_effect,active_full_abs_difference,active_state_error_max_abs,bypass_state_error_max_abs
city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,0,10,P10:Ġwas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,0,2,P02:ĠTokyo,0.0,0.3855421686746988,0.0,-0.3855421686746988,0.0,0.0,0.0
city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,1,10,P10:Ġwas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,1,2,P02:ĠTokyo,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.0,0.0,0.0,0.0
city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,10,10,P10:Ġwas,0.0,-0.012048192771084338,0.0,0.012048192771084338,0.0,0.0,0.0
city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,10,2,P02:ĠTokyo,0.8674698795180723,0.891566265060241,0.8674698795180723,-0.02409638554216864,0.0,0.0,0.0
city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,11,10,P10:Ġwas,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.0,0.0,0.0,0.0
city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,11,2,P02:ĠTokyo,0.8554216867469879,0.891566265060241,0.8554216867469879,-0.03614457831325302,0.0,0.0,0.0
city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,12,10,P10:Ġwas,0.012048192771084338,0.024096385542168676,0.012048192771084338,-0.012048192771084338,0.0,0.0,0.0
city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,12,2,P02:ĠTokyo,0.8554216867469879,0.8674698795180723,0.8554216867469879,-0.012048192771084376,0.0,0.0,0.0
city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,13,10,P10:Ġwas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,13,2,P02:ĠTokyo,0.8674698795180723,0.8674698795180723,0.8674698795180723,0.0,0.0,0.0,0.0
city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,14,10,P10:Ġwas,0.0,0.012048192771084338,0.0,-0.012048192771084338,0.0,0.0,0.0
city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,14,2,P02:ĠTokyo,0.8795180722891566,0.891566265060241,0.8795180722891566,-0.012048192771084376,0.0,0.0,0.0
city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,15,10,P10:Ġwas,0.012048192771084338,0.024096385542168676,0.012048192771084338,-0.012048192771084338,0.0,0.0,0.0
city_Paris_into_Tokyo,city_Paris_Tokyo,Paris,Tokyo,city,15,2,P02:ĠTokyo,0.891566265060241,0.8674698795180723,0.891566265060241,0.02409638554216864,0.0,0.0,0.0
